Dataset:,Cold Pool Extent
Region:,Eastern Bering Sea
Source:,
,
Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,211250
1983,161525
1984,207575
1985,205000
1986,257925
1987,94475
1988,205925
1989,106025
1990,182350
1991,166900
1992,242025
1993,133375
1994,259900
1995,274275
1996,99325
1997,173125
1998,100625
1999,385975
2000,236925
2001,175550
2002,101575
2003,46900
2004,89500
2005,85700
2006,244375
2007,281100
2008,345200
2009,320075
2010,269125
2011,167875
2012,368825
2013,258450
2014,128100
2015,122600
2016,89225
2017,169150
2018,6150
2019,26625
2020,null
2021,58975
