Dataset:,Sea Ice Extent
Region:,Eastern Bering Sea
Source:,
,
Year,Index
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,327644
1981,292170
1982,280293
1983,302066
1984,328710
1985,282936
1986,273052
1987,287074
1988,285035
1989,256940
1990,313723
1991,325823
1992,320923
1993,296059
1994,317464
1995,357572
1996,220454
1997,265791
1998,325253
1999,349619
2000,357519
2001,233725
2002,303202
2003,213179
2004,234737
2005,246560
2006,332516
2007,275417
2008,329720
2009,350421
2010,351966
2011,249895
2012,423280
2013,362409
2014,234357
2015,197687
2016,229818
2017,183960
2018,96622
2019,143310
2020,231518
2021,268748
